model,k-shot,target,scope_id,kw_context,vl_propform,Q_type,acc
LLaMA,10,A0,2,0,0,Q_pos,0.835
LLaMA,10,A0,1,0,0,Q_pos,0.773
LLaMA,10,A0,1,0,0,Q_neg,0.607
LLaMA,10,A0,2,0,0,Q_neg,0.565
LLaMA,10,A1,4,0,0,Q_pos,0.72
LLaMA,10,A1,2,0,0,Q_pos,0.634
LLaMA,10,A1,3,0,0,Q_neg,0.634
LLaMA,10,A1,1,0,0,Q_pos,0.627
LLaMA,10,A1,3,0,0,Q_pos,0.602
LLaMA,10,A1,2,0,0,Q_neg,0.531
LLaMA,10,A1,4,0,0,Q_neg,0.464
LLaMA,10,A1,1,0,0,Q_neg,0.372
LLaMA,10,A2,3,0,0,Q_pos,0.61
LLaMA,10,A2,4,0,0,Q_pos,0.6
LLaMA,10,A2,2,0,0,Q_pos,0.561
LLaMA,10,A2,1,0,0,Q_pos,0.512
LLaMA,10,A2,3,0,0,Q_neg,0.5
LLaMA,10,A2,4,0,0,Q_neg,0.5
LLaMA,10,A2,2,0,0,Q_neg,0.432
LLaMA,10,A2,1,0,0,Q_neg,0.346
LLaMA,10,A_dériv_ajout_de_sens,2,0,0,Q_neg,0.778
LLaMA,10,A_dériv_ajout_de_sens,2,0,0,Q_pos,0.707
LLaMA,10,A_dériv_ajout_de_sens,1,0,0,Q_pos,0.63
LLaMA,10,A_dériv_ajout_de_sens,1,0,0,Q_neg,0.395
LLaMA,10,A_dériv_qualificative,3,0,0,Q_neg,0.817
LLaMA,10,A_dériv_qualificative,2,0,0,Q_neg,0.65
LLaMA,10,A_dériv_qualificative,1,0,0,Q_pos,0.59
LLaMA,10,A_dériv_qualificative,2,0,0,Q_pos,0.554
LLaMA,10,A_dériv_qualificative,3,0,0,Q_pos,0.553
LLaMA,10,A_dériv_qualificative,1,0,0,Q_neg,0.475
LLaMA,10,A_i,3,0,0,Q_pos,0.714
LLaMA,10,A_i,1,0,0,Q_pos,0.683
LLaMA,10,A_i,2,0,0,Q_pos,0.679
LLaMA,10,A_i,3,0,0,Q_neg,0.583
LLaMA,10,A_i,2,0,0,Q_neg,0.488
LLaMA,10,A_i,1,0,0,Q_neg,0.41
LLaMA,10,Able1,4,0,0,Q_pos,0.869
LLaMA,10,Able1,5,0,0,Q_pos,0.849
LLaMA,10,Able1,3,0,0,Q_pos,0.845
LLaMA,10,Able1,2,0,0,Q_pos,0.81
LLaMA,10,Able1,1,0,0,Q_pos,0.759
LLaMA,10,Able1,2,0,0,Q_neg,0.47
LLaMA,10,Able1,3,0,0,Q_neg,0.44
LLaMA,10,Able1,1,0,0,Q_neg,0.439
LLaMA,10,Able1,5,0,0,Q_neg,0.427
LLaMA,10,Able1,4,0,0,Q_neg,0.4
LLaMA,10,Able2,5,0,0,Q_pos,0.929
LLaMA,10,Able2,1,0,0,Q_pos,0.906
LLaMA,10,Able2,4,0,0,Q_pos,0.897
LLaMA,10,Able2,3,0,0,Q_pos,0.869
LLaMA,10,Able2,2,0,0,Q_pos,0.859
LLaMA,10,Able2,3,0,0,Q_neg,0.825
LLaMA,10,Able2,2,0,0,Q_neg,0.622
LLaMA,10,Able2,4,0,0,Q_neg,0.585
LLaMA,10,Able2,5,0,0,Q_neg,0.542
LLaMA,10,Able2,1,0,0,Q_neg,0.207
LLaMA,10,Able_i,2,0,0,Q_pos,0.828
LLaMA,10,Able_i,4,0,0,Q_pos,0.773
LLaMA,10,Able_i,3,0,0,Q_pos,0.75
LLaMA,10,Able_i,1,0,0,Q_pos,0.739
LLaMA,10,Able_i,4,0,0,Q_neg,0.632
LLaMA,10,Able_i,2,0,0,Q_neg,0.593
LLaMA,10,Able_i,1,0,0,Q_neg,0.583
LLaMA,10,Able_i,3,0,0,Q_neg,0.488
LLaMA,10,Adv0,2,0,0,Q_pos,0.87
LLaMA,10,Adv0,1,0,0,Q_pos,0.761
LLaMA,10,Adv0,2,0,0,Q_neg,0.756
LLaMA,10,Adv0,1,0,0,Q_neg,0.648
LLaMA,10,Adv1,2,0,0,Q_pos,0.78
LLaMA,10,Adv1,2,0,0,Q_neg,0.639
LLaMA,10,Adv1,1,0,0,Q_pos,0.605
LLaMA,10,Adv1,1,0,0,Q_neg,0.429
LLaMA,10,Anti,3,0,0,Q_neg,0.789
LLaMA,10,Anti,2,0,0,Q_neg,0.778
LLaMA,10,Anti,1,0,0,Q_neg,0.758
LLaMA,10,Anti,2,0,0,Q_pos,0.649
LLaMA,10,Anti,1,0,0,Q_pos,0.624
LLaMA,10,Anti,3,0,0,Q_pos,0.622
LLaMA,10,Bon,3,0,0,Q_neg,0.724
LLaMA,10,Bon,2,0,0,Q_neg,0.643
LLaMA,10,Bon,1,0,0,Q_neg,0.576
LLaMA,10,Bon,3,0,0,Q_pos,0.506
LLaMA,10,Bon,1,0,0,Q_pos,0.447
LLaMA,10,Bon,2,0,0,Q_pos,0.442
LLaMA,10,Cap,2,0,0,Q_pos,0.818
LLaMA,10,Cap,1,0,0,Q_pos,0.816
LLaMA,10,Cap,3,0,0,Q_pos,0.814
LLaMA,10,Cap,3,0,0,Q_neg,0.756
LLaMA,10,Cap,2,0,0,Q_neg,0.739
LLaMA,10,Cap,1,0,0,Q_neg,0.736
LLaMA,10,Caus,4,0,0,Q_neg,0.725
LLaMA,10,Caus,2,0,0,Q_neg,0.602
LLaMA,10,Caus,3,0,0,Q_pos,0.586
LLaMA,10,Caus,1,0,0,Q_neg,0.558
LLaMA,10,Caus,3,0,0,Q_neg,0.551
LLaMA,10,Caus,1,0,0,Q_pos,0.539
LLaMA,10,Caus,4,0,0,Q_pos,0.5
LLaMA,10,Caus,2,0,0,Q_pos,0.442
LLaMA,10,Colloc_préposition,1,0,0,Q_pos,0.747
LLaMA,10,Colloc_préposition,1,0,0,Q_neg,0.705
LLaMA,10,Collocation_verbale,1,0,0,Q_neg,0.628
LLaMA,10,Collocation_verbale,1,0,0,Q_pos,0.575
LLaMA,10,Contr,3,0,0,Q_neg,0.736
LLaMA,10,Contr,1,0,0,Q_neg,0.652
LLaMA,10,Contr,2,0,0,Q_neg,0.602
LLaMA,10,Contr,2,0,0,Q_pos,0.418
LLaMA,10,Contr,1,0,0,Q_pos,0.36
LLaMA,10,Contr,3,0,0,Q_pos,0.337
LLaMA,10,Conv-ij,2,0,0,Q_neg,0.729
LLaMA,10,Conv-ij,1,0,0,Q_neg,0.667
LLaMA,10,Conv-ij,3,0,0,Q_neg,0.452
LLaMA,10,Conv-ij,3,0,0,Q_pos,0.372
LLaMA,10,Conv-ij,1,0,0,Q_pos,0.369
LLaMA,10,Conv-ij,2,0,0,Q_pos,0.357
LLaMA,10,Conv-ij*,2,0,0,Q_neg,0.837
LLaMA,10,Conv-ij*,1,0,0,Q_neg,0.776
LLaMA,10,Conv-ij*,3,0,0,Q_neg,0.702
LLaMA,10,Conv-ij*,1,0,0,Q_pos,0.47
LLaMA,10,Conv-ij*,2,0,0,Q_pos,0.464
LLaMA,10,Conv-ij*,3,0,0,Q_pos,0.393
LLaMA,10,Dérivation_adjectivale,1,0,0,Q_pos,0.622
LLaMA,10,Dérivation_adjectivale,1,0,0,Q_neg,0.621
LLaMA,10,Dérivation_adverbiale,1,0,0,Q_pos,0.774
LLaMA,10,Dérivation_adverbiale,1,0,0,Q_neg,0.724
LLaMA,10,Dérivation_nominale,1,0,0,Q_neg,0.744
LLaMA,10,Dérivation_nominale,1,0,0,Q_pos,0.517
LLaMA,10,Dérivation_verbale,1,0,0,Q_pos,0.871
LLaMA,10,Dérivation_verbale,1,0,0,Q_neg,0.788
LLaMA,10,Epit,3,0,0,Q_neg,0.739
LLaMA,10,Epit,1,0,0,Q_neg,0.685
LLaMA,10,Epit,2,0,0,Q_neg,0.574
LLaMA,10,Epit,3,0,0,Q_pos,0.461
LLaMA,10,Epit,2,0,0,Q_pos,0.452
LLaMA,10,Epit,1,0,0,Q_pos,0.451
LLaMA,10,Fact0,4,0,0,Q_neg,0.614
LLaMA,10,Fact0,3,0,0,Q_neg,0.61
LLaMA,10,Fact0,5,0,0,Q_neg,0.6
LLaMA,10,Fact0,4,0,0,Q_pos,0.565
LLaMA,10,Fact0,2,0,0,Q_neg,0.524
LLaMA,10,Fact0,1,0,0,Q_pos,0.506
LLaMA,10,Fact0,3,0,0,Q_pos,0.488
LLaMA,10,Fact0,5,0,0,Q_pos,0.434
LLaMA,10,Fact0,2,0,0,Q_pos,0.393
LLaMA,10,Fact0,1,0,0,Q_neg,0.388
LLaMA,10,Fact1,3,0,0,Q_pos,0.619
LLaMA,10,Fact1,4,0,0,Q_pos,0.59
LLaMA,10,Fact1,5,0,0,Q_pos,0.563
LLaMA,10,Fact1,5,0,0,Q_neg,0.558
LLaMA,10,Fact1,2,0,0,Q_pos,0.553
LLaMA,10,Fact1,1,0,0,Q_pos,0.53
LLaMA,10,Fact1,3,0,0,Q_neg,0.529
LLaMA,10,Fact1,2,0,0,Q_neg,0.46
LLaMA,10,Fact1,4,0,0,Q_neg,0.437
LLaMA,10,Fact1,1,0,0,Q_neg,0.4
LLaMA,10,Fact2,5,0,0,Q_pos,0.713
LLaMA,10,Fact2,1,0,0,Q_pos,0.698
LLaMA,10,Fact2,4,0,0,Q_pos,0.679
LLaMA,10,Fact2,3,0,0,Q_pos,0.674
LLaMA,10,Fact2,2,0,0,Q_pos,0.651
LLaMA,10,Fact2,5,0,0,Q_neg,0.651
LLaMA,10,Fact2,3,0,0,Q_neg,0.506
LLaMA,10,Fact2,4,0,0,Q_neg,0.489
LLaMA,10,Fact2,1,0,0,Q_neg,0.425
LLaMA,10,Fact2,2,0,0,Q_neg,0.414
LLaMA,10,Fact_i,3,0,0,Q_pos,0.651
LLaMA,10,Fact_i,2,0,0,Q_pos,0.643
LLaMA,10,Fact_i,1,0,0,Q_pos,0.607
LLaMA,10,Fact_i,4,0,0,Q_pos,0.59
LLaMA,10,Fact_i,1,0,0,Q_neg,0.53
LLaMA,10,Fact_i,2,0,0,Q_neg,0.518
LLaMA,10,Fact_i,3,0,0,Q_neg,0.506
LLaMA,10,Fact_i,4,0,0,Q_neg,0.464
LLaMA,10,Fin,4,0,0,Q_neg,0.736
LLaMA,10,Fin,2,0,0,Q_neg,0.711
LLaMA,10,Fin,3,0,0,Q_neg,0.626
LLaMA,10,Fin,1,0,0,Q_neg,0.6
LLaMA,10,Fin,4,0,0,Q_pos,0.582
LLaMA,10,Fin,1,0,0,Q_pos,0.565
LLaMA,10,Fin,3,0,0,Q_pos,0.556
LLaMA,10,Fin,2,0,0,Q_pos,0.544
LLaMA,10,Func0,1,0,0,Q_pos,0.698
LLaMA,10,Func0,4,0,0,Q_neg,0.682
LLaMA,10,Func0,3,0,0,Q_pos,0.667
LLaMA,10,Func0,2,0,0,Q_pos,0.663
LLaMA,10,Func0,4,0,0,Q_pos,0.635
LLaMA,10,Func0,2,0,0,Q_neg,0.607
LLaMA,10,Func0,3,0,0,Q_neg,0.547
LLaMA,10,Func0,1,0,0,Q_neg,0.472
LLaMA,10,Func2,1,0,0,Q_neg,0.624
LLaMA,10,Func2,3,0,0,Q_neg,0.548
LLaMA,10,Func2,2,0,0,Q_neg,0.541
LLaMA,10,Func2,2,0,0,Q_pos,0.529
LLaMA,10,Func2,4,0,0,Q_neg,0.529
LLaMA,10,Func2,4,0,0,Q_pos,0.529
LLaMA,10,Func2,1,0,0,Q_pos,0.464
LLaMA,10,Func2,3,0,0,Q_pos,0.463
LLaMA,10,Func_i,3,0,0,Q_neg,0.683
LLaMA,10,Func_i,2,0,0,Q_neg,0.573
LLaMA,10,Func_i,1,0,0,Q_neg,0.537
LLaMA,10,Func_i,3,0,0,Q_pos,0.512
LLaMA,10,Func_i,1,0,0,Q_pos,0.5
LLaMA,10,Func_i,2,0,0,Q_pos,0.42
LLaMA,10,Gener,3,0,0,Q_neg,0.773
LLaMA,10,Gener,1,0,0,Q_neg,0.739
LLaMA,10,Gener,3,0,0,Q_pos,0.67
LLaMA,10,Gener,2,0,0,Q_neg,0.667
LLaMA,10,Gener,1,0,0,Q_pos,0.614
LLaMA,10,Gener,2,0,0,Q_pos,0.613
LLaMA,10,Incep,3,0,0,Q_neg,0.621
LLaMA,10,Incep,1,0,0,Q_neg,0.607
LLaMA,10,Incep,4,0,0,Q_pos,0.602
LLaMA,10,Incep,2,0,0,Q_neg,0.596
LLaMA,10,Incep,4,0,0,Q_neg,0.589
LLaMA,10,Incep,2,0,0,Q_pos,0.582
LLaMA,10,Incep,1,0,0,Q_pos,0.571
LLaMA,10,Incep,3,0,0,Q_pos,0.544
LLaMA,10,Instr,2,0,0,Q_neg,0.698
LLaMA,10,Instr,1,0,0,Q_neg,0.689
LLaMA,10,Instr,2,0,0,Q_pos,0.598
LLaMA,10,Instr,1,0,0,Q_pos,0.516
LLaMA,10,Labreal12,3,0,0,Q_pos,0.739
LLaMA,10,Labreal12,1,0,0,Q_pos,0.736
LLaMA,10,Labreal12,2,0,0,Q_pos,0.697
LLaMA,10,Labreal12,4,0,0,Q_pos,0.652
LLaMA,10,Labreal12,2,0,0,Q_neg,0.631
LLaMA,10,Labreal12,4,0,0,Q_neg,0.576
LLaMA,10,Labreal12,3,0,0,Q_neg,0.563
LLaMA,10,Labreal12,1,0,0,Q_neg,0.477
LLaMA,10,Liqu,2,0,0,Q_neg,0.644
LLaMA,10,Liqu,1,0,0,Q_neg,0.643
LLaMA,10,Liqu,3,0,0,Q_neg,0.636
LLaMA,10,Liqu,4,0,0,Q_neg,0.607
LLaMA,10,Liqu,4,0,0,Q_pos,0.607
LLaMA,10,Liqu,1,0,0,Q_pos,0.581
LLaMA,10,Liqu,3,0,0,Q_pos,0.576
LLaMA,10,Liqu,2,0,0,Q_pos,0.523
LLaMA,10,Loc,1,0,0,Q_neg,0.585
LLaMA,10,Loc,2,0,0,Q_neg,0.551
LLaMA,10,Loc,2,0,0,Q_pos,0.482
LLaMA,10,Loc,1,0,0,Q_pos,0.462
LLaMA,10,Magn,3,0,0,Q_neg,0.709
LLaMA,10,Magn,2,0,0,Q_neg,0.549
LLaMA,10,Magn,1,0,0,Q_neg,0.542
LLaMA,10,Magn,3,0,0,Q_pos,0.471
LLaMA,10,Magn,1,0,0,Q_pos,0.465
LLaMA,10,Magn,2,0,0,Q_pos,0.425
LLaMA,10,Modif_ajout_de_sens,2,0,0,Q_neg,0.602
LLaMA,10,Modif_ajout_de_sens,1,0,0,Q_neg,0.56
LLaMA,10,Modif_ajout_de_sens,1,0,0,Q_pos,0.439
LLaMA,10,Modif_ajout_de_sens,2,0,0,Q_pos,0.425
LLaMA,10,Modif_sens_vide,2,0,0,Q_neg,0.588
LLaMA,10,Modif_sens_vide,1,0,0,Q_neg,0.525
LLaMA,10,Modif_sens_vide,1,0,0,Q_pos,0.481
LLaMA,10,Modif_sens_vide,2,0,0,Q_pos,0.457
LLaMA,10,Modificateur,1,0,0,Q_neg,0.795
LLaMA,10,Modificateur,1,0,0,Q_pos,0.607
LLaMA,10,Mult,1,0,0,Q_pos,0.648
LLaMA,10,Mult,2,0,0,Q_pos,0.64
LLaMA,10,Mult,2,0,0,Q_neg,0.591
LLaMA,10,Mult,1,0,0,Q_neg,0.489
LLaMA,10,N_dériv_ajout_de_sens,2,0,0,Q_neg,0.647
LLaMA,10,N_dériv_ajout_de_sens,1,0,0,Q_neg,0.539
LLaMA,10,N_dériv_ajout_de_sens,2,0,0,Q_pos,0.494
LLaMA,10,N_dériv_ajout_de_sens,1,0,0,Q_pos,0.471
LLaMA,10,N_dériv_circonstancielle,3,0,0,Q_neg,0.729
LLaMA,10,N_dériv_circonstancielle,2,0,0,Q_neg,0.643
LLaMA,10,N_dériv_circonstancielle,1,0,0,Q_neg,0.627
LLaMA,10,N_dériv_circonstancielle,2,0,0,Q_pos,0.44
LLaMA,10,N_dériv_circonstancielle,3,0,0,Q_pos,0.424
LLaMA,10,N_dériv_circonstancielle,1,0,0,Q_pos,0.42
LLaMA,10,Nom_gouverneur,1,0,0,Q_neg,0.627
LLaMA,10,Nom_gouverneur,1,0,0,Q_pos,0.274
LLaMA,10,Oper1,1,0,0,Q_neg,0.605
LLaMA,10,Oper1,3,0,0,Q_neg,0.588
LLaMA,10,Oper1,2,0,0,Q_pos,0.506
LLaMA,10,Oper1,3,0,0,Q_pos,0.506
LLaMA,10,Oper1,1,0,0,Q_pos,0.5
LLaMA,10,Oper1,2,0,0,Q_neg,0.5
LLaMA,10,Oper1,4,0,0,Q_neg,0.494
LLaMA,10,Oper1,4,0,0,Q_pos,0.471
LLaMA,10,Oper2,4,0,0,Q_neg,0.64
LLaMA,10,Oper2,3,0,0,Q_neg,0.609
LLaMA,10,Oper2,4,0,0,Q_pos,0.586
LLaMA,10,Oper2,3,0,0,Q_pos,0.581
LLaMA,10,Oper2,2,0,0,Q_pos,0.512
LLaMA,10,Oper2,1,0,0,Q_pos,0.489
LLaMA,10,Oper2,1,0,0,Q_neg,0.488
LLaMA,10,Oper2,2,0,0,Q_neg,0.482
LLaMA,10,Oper_i,2,0,0,Q_neg,0.663
LLaMA,10,Oper_i,3,0,0,Q_neg,0.619
LLaMA,10,Oper_i,1,0,0,Q_pos,0.566
LLaMA,10,Oper_i,3,0,0,Q_pos,0.53
LLaMA,10,Oper_i,1,0,0,Q_neg,0.529
LLaMA,10,Oper_i,2,0,0,Q_pos,0.5
LLaMA,10,Pred,2,0,0,Q_pos,0.742
LLaMA,10,Pred,3,0,0,Q_pos,0.724
LLaMA,10,Pred,1,0,0,Q_pos,0.67
LLaMA,10,Pred,3,0,0,Q_neg,0.591
LLaMA,10,Pred,1,0,0,Q_neg,0.584
LLaMA,10,Pred,2,0,0,Q_neg,0.413
LLaMA,10,Qual1,4,0,0,Q_neg,0.518
LLaMA,10,Qual1,3,0,0,Q_pos,0.5
LLaMA,10,Qual1,2,0,0,Q_pos,0.494
LLaMA,10,Qual1,3,0,0,Q_neg,0.494
LLaMA,10,Qual1,4,0,0,Q_pos,0.471
LLaMA,10,Qual1,1,0,0,Q_pos,0.405
LLaMA,10,Qual1,2,0,0,Q_neg,0.333
LLaMA,10,Qual1,1,0,0,Q_neg,0.28
LLaMA,10,Real1,4,0,0,Q_neg,0.578
LLaMA,10,Real1,3,0,0,Q_pos,0.576
LLaMA,10,Real1,2,0,0,Q_pos,0.56
LLaMA,10,Real1,5,0,0,Q_pos,0.56
LLaMA,10,Real1,5,0,0,Q_neg,0.554
LLaMA,10,Real1,4,0,0,Q_pos,0.553
LLaMA,10,Real1,1,0,0,Q_pos,0.548
LLaMA,10,Real1,3,0,0,Q_neg,0.548
LLaMA,10,Real1,2,0,0,Q_neg,0.54
LLaMA,10,Real1,1,0,0,Q_neg,0.488
LLaMA,10,Real2,1,0,0,Q_neg,0.643
LLaMA,10,Real2,3,0,0,Q_neg,0.612
LLaMA,10,Real2,1,0,0,Q_pos,0.578
LLaMA,10,Real2,5,0,0,Q_neg,0.573
LLaMA,10,Real2,4,0,0,Q_neg,0.571
LLaMA,10,Real2,5,0,0,Q_pos,0.558
LLaMA,10,Real2,2,0,0,Q_pos,0.535
LLaMA,10,Real2,4,0,0,Q_pos,0.523
LLaMA,10,Real2,3,0,0,Q_pos,0.518
LLaMA,10,Real2,2,0,0,Q_neg,0.407
LLaMA,10,Real3,5,0,0,Q_neg,0.702
LLaMA,10,Real3,1,0,0,Q_neg,0.694
LLaMA,10,Real3,5,0,0,Q_pos,0.618
LLaMA,10,Real3,1,0,0,Q_pos,0.616
LLaMA,10,Real3,3,0,0,Q_neg,0.607
LLaMA,10,Real3,3,0,0,Q_pos,0.588
LLaMA,10,Real3,4,0,0,Q_pos,0.545
LLaMA,10,Real3,2,0,0,Q_pos,0.517
LLaMA,10,Real3,2,0,0,Q_neg,0.512
LLaMA,10,Real3,4,0,0,Q_neg,0.458
LLaMA,10,Real_i,2,0,0,Q_neg,0.607
LLaMA,10,Real_i,4,0,0,Q_neg,0.563
LLaMA,10,Real_i,2,0,0,Q_pos,0.558
LLaMA,10,Real_i,1,0,0,Q_neg,0.528
LLaMA,10,Real_i,4,0,0,Q_pos,0.494
LLaMA,10,Real_i,3,0,0,Q_neg,0.483
LLaMA,10,Real_i,3,0,0,Q_pos,0.477
LLaMA,10,Real_i,1,0,0,Q_pos,0.464
LLaMA,10,RealΩ,5,0,0,Q_neg,0.679
LLaMA,10,RealΩ,1,0,0,Q_pos,0.605
LLaMA,10,RealΩ,3,0,0,Q_pos,0.598
LLaMA,10,RealΩ,5,0,0,Q_pos,0.586
LLaMA,10,RealΩ,2,0,0,Q_pos,0.576
LLaMA,10,RealΩ,4,0,0,Q_pos,0.547
LLaMA,10,RealΩ,3,0,0,Q_neg,0.529
LLaMA,10,RealΩ,4,0,0,Q_neg,0.5
LLaMA,10,RealΩ,1,0,0,Q_neg,0.453
LLaMA,10,RealΩ,2,0,0,Q_neg,0.416
LLaMA,10,Redun,3,0,0,Q_neg,0.667
LLaMA,10,Redun,1,0,0,Q_neg,0.644
LLaMA,10,Redun,2,0,0,Q_neg,0.568
LLaMA,10,Redun,1,0,0,Q_pos,0.539
LLaMA,10,Redun,3,0,0,Q_pos,0.528
LLaMA,10,Redun,2,0,0,Q_pos,0.506
LLaMA,10,Result2,2,0,0,Q_pos,0.699
LLaMA,10,Result2,1,0,0,Q_neg,0.588
LLaMA,10,Result2,1,0,0,Q_pos,0.506
LLaMA,10,Result2,2,0,0,Q_neg,0.393
LLaMA,10,S0,1,0,0,Q_pos,0.729
LLaMA,10,S0,1,0,0,Q_neg,0.639
